ingredient',pairings'
'cod',"['anchovies', ' bacon', ' basil', ' bay leaf', ' beans, cannellini', ' beans, green', ' beans, navy', ' beans, white', ' bell peppers, red', ' bell peppers, green', ' bell peppers, yellow', ' bouquet garni', ' brandade', ' brandy', ' bread crumbs', ' butter, unsalted', ' cabbage, savoy', ' capers', ' caraway seeds', ' carrots', ' cayenne', ' celery', ' cheese, emmental', ' cheese, gruyère', ' cheese, swiss', ' chervil', ' chives', ' cilantro', ' coriander', ' cream', ' currants', ' daikon', ' eggplant', ' eggs, hard-boiled', ' endive', ' fennel', ' garlic', ' ginger', ' ham, cured', ' ham, serrano', ' leeks', ' lemon, juice', ' mayonnaise', ' milk', ' miso', ' mushrooms', ' mustard, dijon', ' oils, canola', ' oils, corn', ' oils, grapeseed', ' oils, peanut', ' olive oil', ' olives, black', ' olives, green', ' onions', ' orange, juice', ' orange, zest', ' paprika, sweet', ' parsley, flat-leaf', ' peas', ' pepper, black', ' pepper, white', ' pine nuts', ' potatoes', ' prosciutto', ' radishes', ' risotto', ' rosemary', ' saffron', ' sage', ' salt,fleur de sel', ' salt,kosher', ' salt, sea', ' sauces, hollandaise', ' sauces, tartar', ' sauces, tomato', ' sausage, chorizo', ' scallions', ' shallots', ' shellfish, clams', ' shellfish, shrimp', ' stocks, chicken', ' stocks, fish', ' stocks, mussels', ' stocks, veal', ' stocks, vegetable', ' sugar', ' tarragon', ' thyme', ' tomatoes', ' truffles, black', ' vinegar, balsamic', ' vinegar, champagne', ' vinegar, red wine', ' vinegar, sherry', ' vinegar, tarragon', ' vinegar, white wine', ' wine, dry white', ' wine, red', ' yuzu juice']"
"'cod, black'","['bell peppers, red', ' chile peppers', ' chives', ' garlic', ' ginger', ' leeks', ' miso', ' onions', ' shiso', ' shrimp', ' soy sauce', ' sugar, brown']"
"'cod, salt'","['artichoke hearts', ' bay leaf', ' beans, white', ' bell peppers, green', ' bell peppers, red', ' bread crumbs', ' capers', ' chile peppers', ' cilantro', ' cream', ' garlic', ' greens, salad', ' lemon, juice', ' marjoram', ' mint', ' old bay seasoning', ' oil, canola', ' olive oil', ' olives', ' onions', ' paprika, hot', ' paprika, sweet', ' parsley, flat-leaf', ' pasta', ' pepper, black', ' pepper, white', ' potatoes', ' saffron', ' salt, kosher', ' salt, sea', ' scallions', ' shallots', ' shrimp', ' sour cream', ' stock, fish', ' sugar', ' tabasco sauce', ' thyme', ' tomatoes', ' vinegar, red wine', ' vinegar, white wine', ' wine, dry', ' worcestershire sauce']"
'coffee / espresso',"['almonds', ' amaretto', ' anise', ' bananas', ' barbecue sauce', ' beverages', ' bourbon', ' brandy', ' caramel', ' cardamom', ' cheese, ricotta', ' cherries', ' chicken', ' chicory', ' chocolate', ' cinnamon', ' cloves', ' cocoa', ' coconut', ' cognac', ' cream', ' curry', ' custards', ' dates', ' fennel seeds', ' figs', ' game birds', ' gravy', ' ham', ' hazelnuts', ' honey', ' ice cream, vanilla', ' irish whiskey', ' lamb', ' lemon', ' lime', ' liqueurs, coffee', ' macadamia nuts', ' maple syrup', ' milk, including sweetened, condensed', ' nutmeg', ' nuts', ' oats', ' orange', ' pears', ' pecans', ' persimmons', ' pork', ' prunes', ' raisins', ' rum', ' star anise', ' sugar, brown', ' sugar, white', ' vanilla', ' vinegar, balsamic']"
'cognac',"['apples and apple cider', ' beef', ' chicken', ' chocolate', ' cream', ' foie gras', ' mushrooms', ' mustard', ' pepper, black', ' pepper, green', ' pork', ' prunes', ' raisins', ' turkey', ' vanilla', ' vinegar, cider']"
'cooling',"['asparagus', ' avocados', ' berries', ' buttermilk', ' cucumbers', ' figs, fresh', ' fruits', ' herbs, cooling', ' lettuce', ' melon', ' salads', ' spices, cooling', ' water', ' watercress', ' watermelon', ' yogurt', ' zucchini']"
'coriander',"['allspice', ' anise', ' apples', ' baked goods', ' basil', ' beans', ' beef', ' cardamom', ' carrots', ' cayenne', ' chicken', ' chickpeas', ' chile peppers', ' chili', ' chutneys', ' cilantro', ' cinnamon', ' citrus and citrus zest', ' cloves', ' coconut and coconut milk', ' corn', ' crab', ' cumin', ' curries', ' curry powder', ' desserts', ' eggs', ' fennel', ' fennel seeds', ' fish', ' fruits', ' garam masala', ' garlic', ' ginger', ' gingerbread', ' grapefruit', ' ham', ' harissa', ' hot dogs', ' lamb', ' lentils', ' mace', ' meats', ' mint', ' mushrooms', ' nutmeg', ' nuts', ' olive oil', ' onions', ' orange, juice', ' orange, zest', ' pastries', ' pears', ' pepper, black', ' pickles', ' plums', ' pork', ' potatoes', ' poultry', ' quince', ' rice', ' saffron', ' salmon', ' sausages', ' sesame seeds', ' shellfish', ' soups', ' spinach', ' stews', ' stocks', ' stuffing', ' sugar', ' tomatoes and tomato sauces', ' turkey', ' turmeric']"
'corn',"['bacon', ' basil, sweet', ' basil, lemon', ' bay leaf', ' beans', ' béchamel sauce', ' beef', ' bell peppers, red', ' bell peppers, green', ' butter, unsalted', ' buttermilk', ' caraway seed', ' carrots', ' cayenne', ' celery', ' cheese, cheddar', ' cheese, colby', ' cheese, cotija', ' cheese, feta', ' cheese, monterey jack', ' chervil', ' chile peppers, chipotle', ' chile peppers, jalapeño', ' chile peppers, serrano', ' chili powder', ' chili sauce', ' chives', ' cilantro', ' clams', ' corn', ' cornmeal', ' crab', ' cream', ' crème fraîche', ' cumin', ' curry powder', ' dill', ' eggs', ' fava beans', ' fennel', ' fish, salmon', ' garlic', ' ginger, fresh', ' ham', ' leeks', ' lemon, juice', ' lemon thyme', ' lime, juice', ' lobster', ' lovage', ' maple syrup', ' marjoram', ' mascarpone', ' milk', ' mirepoix', ' mushrooms', ' mustard', ' nutmeg', ' oil, canola', ' oil, peanut', ' oil, vegetable', ' olive oil', ' onions, red', ' onions, spanish', ' onions, yellow', ' oregano', ' pancetta', ' paprika', ' parsley', ' pasta', ' pepper, black', ' pepper, white', ' pesto', ' polenta', ' potatoes', ' poultry', ' risottos', ' rosemary', ' saffron', ' sage', ' salads, green', ' salmon', ' salsas', ' salt, kosher', ' salt, sea', ' scallions', ' scallops', ' shallots', ' sherry, dry', ' shiso', ' squash', ' star anise', ' stocks, chicken', ' stocks, vegetable', ' sugar', ' tarragon', ' thyme', ' tomatoes', ' tortillas, corn', ' vermouth', ' vinaigrette', ' vinegar, cider', ' vinegar, white wine', ' wine, dry white']"
'cornish game hens',"['cardamom', ' cayenne', ' cinnamon', ' cloves', ' cumin', ' garam masala', ' garlic', ' ginger', ' lemon', ' oil, canola', ' onions', ' paprika', ' pepper, black', ' salt', ' tomatoes and tomato paste', ' turmeric', ' yogurt']"
'couscous',"['apricots, dried', ' basil', ' bell peppers', ' butter', ' cabbage', ' carrots', ' cayenne', ' chervil', ' chicken', ' chickpeas', ' cilantro', ' cumin', ' fish', ' ginger', ' lemon, juice', ' lemon, preserved', ' lemon, zest', ' mint', ' olive oil', ' olives', ' onions', ' parsley, flat-leaf', ' pepper, black', ' raisins', ' saffron', ' salt, kosher', ' salt, sea', ' sausage, merguez', ' scallions', ' stocks, chicken', ' stocks, fish', ' stocks, vegetable', ' stocks,', ' tomatoes and tomato juice', ' turnips', ' zucchini']"
"'couscous, israeli'","['olive oil', ' pepper, white', ' pesto', ' shallots', ' stock, chicken']"
'crab',"['aioli', ' apples', ' artichokes', ' asparagus', ' avocados', ' bacon', ' basil', ' bay leaf', ' bell peppers', ' bread crumbs / panko', ' butter, unsalted', ' carrots and carrot juice', ' cauliflower', ' caviar', ' cayenne', ' celery', ' celery root', ' celery salt', ' chervil', ' chile peppers, jalapeño', ' chile peppers, scotch bonnet pepper', ' chile peppers, thai', ' chili sauce', ' chives', ' cilantro', ' coconut and coconut milk', ' coriander', ' corn', ' crab roe', ' cream', ' crème fraîche', ' cucumber', ' cumin', ' curry', ' custard', ' dill', ' eggplant', ' eggs', ' endive, belgian', ' fennel', ' fish, pike', ' fish, sole', ' fish sauce, thai', ' garlic', ' ginger', ' grapefruit', ' honey', ' lemon, juice', ' lemon, zest', ' lemongrass', ' lemon thyme', ' lime, juice', ' lime, zest', ' lobster', ' mango', ' mascarpone', ' mayonnaise', ' melon, cantaloupe', ' melon, honeydew', ' mint', ' mushrooms', ' mustard, dijon', ' mustard powder', ' nutmeg', ' oil, canola', ' oil, grapeseed', ' oil, peanut', ' oil, sesame', ' oil, vegetable', ' olive oil', ' old bay seasoning', ' onions, green', ' onions, red', ' onions, spring', ' onions, sweet', ' onions, white', ' orange, juice', ' orange, zest', ' paprika', ' parsley, flat-leaf', ' peas, green', ' pepper, black', ' pepper, white', ' pineapple', ' pine nuts', ' ponzu sauce', ' potatoes', ' radishes', ' saffron', ' salt, kosher', ' salt, sea', ' scallions', ' sesame seeds', ' shallots', ' sherry, dry', ' shiso', ' shrimp', ' snow peas', ' sour cream', ' soy sauce', ' spinach', ' stocks, chicken', ' stocks, vegetable', ' sugar', ' tabasco sauce', ' tamarind', ' tarragon', ' tartar sauce', ' thyme', ' tomatoes, fresh', ' tomatoes, sun-dried', ' vinaigrette', ' vinegar, balsamic', ' vinegar, champagne', ' vinegar, red wine', ' vinegar, sherry', ' watercress', ' yogurt']"
"'crab, soft-shell'","['almonds', ' arrowroot', ' arugula', ' asparagus', ' avocado', ' bacon', ' basil', ' bell peppers, red', ' broccoli rabe', ' brown butter sauce', ' butter, clarified', ' butter, unsalted', ' capers', ' cayenne', ' chervil', ' chile peppers, jalapeño', ' chili powder', ' chives', ' coleslaw', ' couscous, israeli', ' cream', ' crème fraîche', ' cucumbers', ' daikon', ' dill', ' fennel', ' garlic', ' ginger', ' grapefruit', ' leeks', ' lemon, juice', ' lime, juice', ' lime, zest', ' mayonnaise', ' mushrooms', ' mustard, dijon', ' nori', ' oil, canola', ' oil, peanut', ' oil, vegetable', ' olive oil', ' onions, red', ' orange, juice', ' paprika', ' parsley, flat-leaf', ' peas, sugar', ' pepper, black', ' pepper, white', ' pesto', ' potatoes', ' rémoulade sauce', ' sake', ' salt, kosher', ' salt, sea', ' scallions', ' scallops', ' shallots', ' shiso leaf', ' shrimp', ' sorrel', ' soy sauce', ' stock, fish', ' tabasco sauce', ' tarragon, fresh', ' tartar sauce', ' thyme', ' tomatoes', ' vinaigrette', ' vinegar, balsamic', ' vinegar, champagne', ' vinegar, white wine', ' wine, dry white', ' zucchini']"
'cranberries',"['allspice', ' almonds', ' apples', ' apricots', ' baked goods', ' cheese, goat', ' chicken', ' chile peppers, jalapeño', ' chocolate, dark', ' chocolate, white', ' cinnamon', ' cloves', ' cognac', ' cream', ' cream cheese', ' currants', ' ginger', ' hazelnuts', ' honey', ' lemon, juice', ' lemon, zest', ' lime, zest', ' liqueur, orange', ' maple syrup', ' nuts', ' oats', ' orange, juice', ' orange, zest', ' peaches', ' pears', ' pepper', ' pistachios', ' pork', ' poultry', ' pumpkin', ' raisins', ' quince', ' salt', ' star anise', ' sugar, brown', ' sugar, white', ' sweet potatoes', ' tangerines', ' thyme', ' turkey', ' vanilla', ' walnuts', ' wine, white']"
'crayfish',"['asparagus', ' avocados', ' bacon', ' basil', ' bay leaf', ' butter', ' carrots and carrot juice', ' cayenne', ' celery', ' chervil', ' chives', ' cloves', ' coriander', ' cream / milk', ' dill', ' egg yolks', ' endive', ' fennel seeds', ' garlic', ' hazelnuts', ' leeks', ' mango', ' mayonnaise', ' mirepoix', ' mushrooms, morels', ' mustard', ' oil, grapeseed', ' olive oil', ' onions', ' orange, juice', ' parsley, flat-leaf', ' pepper, black', ' radishes', ' rice', ' rosemary', ' salt', ' shallots', ' sorrel', ' tabasco sauce', ' tarragon', ' thyme', ' tomatoes', ' vinegar, tarragon', ' vinegar, white wine', ' wine, dry white', ' zucchini']"
'cream cheese',"['berries', ' blueberries', ' bread', ' breakfast / brunch', ' cheese, fresh goat', ' cheese, ricotta', ' cherries', ' cloves', ' cream', ' crème fraîche', ' desserts', ' eggs', ' fruit, dried', ' ginger', ' graham cracker crumbs', ' honey', ' kiwi fruit', ' lemon, juice', ' lemon, zest', ' liqueur, orange', ' maple syrup', ' mascarpone', ' nutmeg', ' orange, juice', ' quince paste', ' raisins', ' raspberries', ' rum', ' salt', ' sour cream', ' strawberries', ' sugar', ' vanilla', ' yogurt']"
'crème fraîche',"['apples', ' caramel', ' fruit, fresh', ' potatoes', ' raspberries', ' sauces', ' strawberries', ' sugar, brown']"
'cucumbers',"['allspice', ' bell peppers', ' basil', ' butter', ' buttermilk', ' caraway seeds', ' cayenne', ' celery and celery seeds', ' cheese, blue', ' cheese, feta', ' chervil', ' chile peppers, fresh green', ' chile peppers, jalapeño', ' chives', ' cilantro', ' coconut milk', ' coriander', ' cream', ' cream cheese', ' crème fraîche', ' cumin', ' dill', ' fish', ' fish sauce, thai', ' frisée', ' garam masala', ' garlic', ' gin', ' horseradish', ' jicama', ' lemon balm', ' lemon, juice', ' lime, juice', ' melon', ' mint', ' mustard, dijon', ' oil, sesame', ' oil, vegetable', ' olive oil', ' onions', ' oregano', ' parsley, flat-leaf', ' peanuts', ' pepper, black', ' pepper, white', ' pineapple', ' romaine', ' red pepper flakes', ' salads', ' salmon', ' salt, kosher', ' salt, sea', ' scallions', ' scallops', ' sesame seeds', ' shallots', ' shrimp', ' smoked salmon', ' soups, chilled', ' sour cream', ' soy sauce', ' sprouts', ' sugar', ' tabasco sauce', ' tamari', ' tarragon', ' tea sandwiches', ' thyme', ' tomatoes', ' vinaigrettes', ' vinegar, balsamic', ' vinegar, champagne', ' vinegar, cider', ' vinegar, red wine', ' vinegar, rice wine', ' vinegar, sherry', ' vinegar, tarragon', ' vinegar, white wine', ' vodka', ' watercress', ' wine, white', ' yogurt']"
'cumin',"['allspice', ' anise', ' apples', ' baked goods', ' bay leaf', ' beans', ' beef', ' beets', ' bread', ' cabbage', ' caramel', ' cardamom', ' carrots', ' cayenne', ' cheese', ' chicken', ' chickpeas', ' chile peppers', ' chili', ' chili powder', ' cinnamon', ' cloves', ' coriander', ' couscous', ' curries', ' curry leaves', ' eggplant', ' eggs', ' fennel', ' fennel seeds', ' fenugreek seeds', ' fish', ' fruits, dried', ' garam masala', ' garlic', ' ginger', ' harissa', ' honey', ' hummus', ' lamb', ' lentils', ' mace', ' meats', ' mint, dried', ' mustard and mustard seeds', ' nutmeg', ' onions', ' orange', ' oregano', ' paprika', ' peas', ' pepper', ' pork', ' potatoes', ' rice', ' saffron', ' salads', ' salmon', ' sauces', ' sauerkraut', ' sausages', ' shellfish', ' soups', ' squash', ' stews', ' sugar, palm', ' tabasco sauce', ' tahini', ' tamarind', ' tequila', ' thyme', ' tomatoes', ' tuna', ' turmeric', ' vegetables', ' yogurt']"
'curry leaves',"['allspice', ' bread', ' cardamom', ' chile peppers', ' cilantro', ' cinnamon', ' cloves', ' coconut', ' coriander', ' cumin', ' curries', ' fennel seeds', ' fenugreek seeds', ' fish', ' garlic', ' ginger', ' lamb', ' lentils', ' mustard seeds', ' paprika', ' peas', ' pepper', ' rice', ' shellfish', ' soups', ' stir-fried dishes', ' stocks', ' tamarind', ' turmeric', ' vegetables']"
'curry powder and sauces',"['beef', ' butter', ' cardamom', ' cashews', ' cayenne', ' cheese', ' chicken', ' chile peppers, red', ' cilantro', ' cinnamon', ' cloves', ' coconut', ' coriander', ' cream', ' crème fraîche', ' cumin', ' dill', ' eggs and egg salad', ' fennel', ' fish', ' garlic', ' ginger', ' lemon, zest', ' lemongrass', ' lime, juice', ' mace', ' mayonnaise', ' mushrooms', ' nutmeg', ' oil, vegetable', ' onions', ' paprika', ' pepper, black', ' pepper, red', ' potatoes', ' saffron', ' salads', ' salt, kosher', ' sauces', ' shellfish', ' soups', ' star anise', ' stews, meat', ' stocks, chicken', ' stocks, fish', ' tamarind', ' tomatoes', ' tuna', ' turmeric', ' vegetables', ' zucchini']"
'custards',"['almonds', ' apples', ' apricots', ' bananas', ' berries', ' caramel', ' chai', ' cherries', ' chocolate', ' cinnamon', ' coconut', ' coffee', ' ginger', ' hazelnuts', ' lemon', ' liqueurs, nut', ' liqueurs, orange', ' mango', ' maple syrup', ' nutmeg', ' orange', ' passion fruit', ' pears', ' persimmons', ' pineapple', ' plums', ' prunes', ' pumpkin', ' quince', ' raisins', ' raspberries', ' rhubarb', ' strawberries', ' sweet potatoes', ' thyme', ' vanilla', ' walnuts', ' wine, sweet']"
'daikon',"['basil', ' beef', ' beets', ' butter', ' cabbage', ' carrots', ' celery root', ' cheese, feta', ' chives', ' cream', ' cream cheese', ' cucumbers', ' curry powder', ' dill', ' duck', ' fish', ' ginger', ' honey', ' lemon, juice', ' lovage', ' marjoram', ' mint', ' miso', ' oil, sesame', ' onions', ' orange, juice', ' oregano', ' parsley', ' pork', ' salmon', ' scallions', ' soups', ' sour cream', ' soy sauce', ' sugar', ' sugar snap peas', ' tamari', ' thyme', ' tuna', ' vinegar']"
'dates',"['almonds', ' apples', ' apricots', ' armagnac', ' bacon', ' bananas', ' brandy', ' butter, unsalted', ' buttermilk', ' cakes', ' caramel', ' cheese', ' cherries, dried', ' chicken', ' chives', ' chocolate', ' cinnamon', ' coconut', ' coffee', ' couscous', ' cranberries, dried', ' cream and ice cream', ' cream cheese', ' crème fraîche', ' currants', ' desserts', ' figs', ' ginger', ' hazelnuts', ' honey', ' lamb', ' lemon', ' lime', ' macadamia nuts', ' maple syrup', ' mascarpone', ' nuts', ' oats', ' orange blossom water', ' orange, juice', ' orange, zest', ' pecans', ' pepper, black', ' pistachios', ' prunes', ' quince', ' raisins', ' rosemary', ' rum', ' sugar, brown', ' sugar, white', ' thyme', ' vanilla', ' walnuts', ' wine, red', ' wine, sweet']"
'dill',"['asparagus', ' avocados', ' basil', ' beans', ' beef', ' beets', ' breads', ' broccoli', ' cabbage', ' capers', ' carrots', ' cauliflower', ' celery root', ' cheese, cheddar', ' cheese, cottage', ' cheese, goat', ' cheese, soft', ' chicken', ' chives', ' cilantro', ' coriander', ' corn', ' crayfish', ' cream cheese', ' cream sauces', ' crème fraîche', ' cucumbers', ' eggplant', ' eggs and egg dishes', ' fish', ' garlic', ' green beans', ' halibut', ' horseradish', ' lemon balm', ' lemon thyme', ' lovage', ' meats', ' mint', ' mushrooms', ' mustard', ' onions', ' paprika', ' parsley', ' parsnips', ' peas', ' pickles', ' potatoes and potato salad', ' poultry', ' rice', ' salads and salad dressings', ' salmon', ' salmon, cured', ' salmon, smoked', ' sauces', ' scallops', ' shellfish', ' shrimp', ' sole', ' soups', ' sour cream and sour cream sauces', ' spinach', ' squash', ' tomatoes and tomato juices', ' trout', ' veal', ' vegetables', ' yogurt and yogurt sauces', ' zucchini']"
'duck',"['allspice', ' apples', ' apricots (sauce)', ' artichokes', ' arugula', ' bacon', ' basil', ' bay leaf', ' beans, fava', ' blueberries', ' bok choy', ' butter, unsalted', ' cabbage, green', ' cabbage, red', ' caraway seeds', ' cardamom', ' carrots', ' celery', ' celery root', ' cheese, asiago', ' cheese, parmesan', ' cheese, pecorino', ' cheese, ricotta', ' cherries, regular', ' cherries, sun-dried', ' chervil', ' chestnuts', ' chicory', ' chile peppers, ancho', ' chile peppers, jalapeño', ' chili paste', ' chives', ' chocolate and cocoa', ' cilantro', ' cinnamon', ' citrus fruit', ' cloves', ' coconut milk', ' coriander', ' cucumbers', ' cumin', ' currants, black or red, fruit', ' currants, black or red, preserves', ' curry paste', ' dates', ' duck fat', ' farro', ' fennel', ' fennel seeds', ' figs', ' fish sauce, thai', ' five-spice powder', ' foie gras', ' garlic', ' ginger', ' hoisin sauce', ' honey', ' horseradish', ' huckleberries', ' juniper berries', ' kaffir lime leaves', ' kumquats', ' lavender', ' leeks', ' lemon, juice, preserved', ' lemongrass', ' lentils', ' lime, juice', ' liqueur, orange', ' mangoes', ' marjoram', ' mint', ' mirepoix', ' morels', ' mushrooms', ' mustard, dijon', ' nutmeg', ' nuts, macadamia', ' oil, canola', ' oil, grapeseed', ' oil, peanut', ' oil, sesame', ' oil, vegetable', ' olive oil', ' olives', ' onions', ' orange, juice', ' orange, zest', ' pancetta', ' parsley, flat-leaf', ' pasta', ' peaches', ' pears', ' peas', ' pepper, black', ' pepper, green', ' pepper, pink', ' pepper, white', ' plums, fruit', ' plums, sauce', ' pomegranates', ' poppy seeds', ' port', ' potatoes', ' prunes', ' raspberries', ' red pepper flakes', ' rice', ' risotto', ' rosemary', ' sage', ' sake', ' salt,fleur de sel', ' salt, kosher', ' salt, sea', ' sauerkraut', ' scallions', ' sesame seeds, black', ' sesame seeds, white', ' shallots', ' sherry', ' soy sauce', ' spinach', ' squash, butternut', ' star anise', ' stocks, chicken', ' stocks, duck', ' stocks, game', ' stocks, meat', ' stocks, turkey', ' stuffing', ' sugar, brown', ' sugar, white', ' sweet potatoes', ' tabasco sauce', ' tamarind', ' tarragon, fresh', ' teriyaki sauce', ' thyme, fresh', ' tomatoes, paste', ' tomatoes, puree', ' tomatoes, raw', ' turmeric', ' turnips', ' vegetables, root', ' verjus', ' vermouth', ' vinegar, balsamic', ' vinegar, champagne', ' vinegar, raspberry', ' vinegar, red wine', ' vinegar, rice wine', ' vinegar, sherry', ' vinegar, white', ' water chestnuts', ' watercress', ' wine, dry red']"
'duck confit',"['beets', ' cheese, roquefort', ' frisée', ' garlic', ' lentils, green', ' mushrooms, wild', ' mustard, dijon', ' oil, hazelnut', ' oil, walnut', ' onions', ' parsley, flat-leaf', ' pepper, white', ' salt', ' shallots', ' stock, chicken', ' vinegar, red wine', ' watercress']"
'eggplant',"['allspice', ' anchovies', ' artichokes', ' basil', ' bell peppers', ' bouquet garni', ' bread, pita', ' bread crumbs', ' cabbage, green', ' capers', ' cashews', ' cayenne', ' cheese, emmental', ' cheese, feta', ' cheese, goat', ' cheese, gruyère', ' cheese, mozzarella', ' cheese, parmesan', ' cheese, ricotta', ' cheese, ricotta salata', ' cheese,', ' romano, swiss', ' chickpeas', ' chile peppers', ' chili powder', ' chives', ' cilantro', ' cinnamon', ' coconut milk', ' coriander', ' cumin', ' curry', ' dips', ' fennel', ' fennel seeds', ' garam masala', ' garlic', ' ginger', ' honey', ' lamb', ' lemon, juice', ' lentils', ' mint', ' miso', ' mushrooms', ' mustard, dijon', ' oil, peanut', ' oil, sesame', ' olive oil', ' olives, black', ' olives, green', ' onions', ' oregano', ' paprika', ' parsley, flat-leaf', ' pasta', ' pepper, black', ' pepper, white', ' peppers, piquillo', ' pine nuts', ' pomegranate', ' prosciutto', ' red pepper flakes', ' rice', ' rosemary', ' saffron', ' sage', ' salt, kosher', ' salt, sea', ' sausage', ' savory', ' scallions', ' sesame, oil', ' sesame, seeds', ' shallots', ' soy sauce', ' squash, yellow or other summer', ' stock, chicken', ' sugar', ' tahini', ' tamari', ' thyme', ' tomatoes, tomato juice, tomato sauce', ' vinegar, balsamic', ' vinegar, champagne', ' vinegar, red wine', ' vinegar, rice wine', ' vinegar, sherry', ' walnuts', ' yogurt', ' zucchini', ' eggs and egg- based dishes', ' asparagus', ' bacon and pancetta', ' basil', ' bell peppers', ' bread', ' butter', ' capers', ' caviar', ' cheeses, comté', ' cheeses, emmental', ' cheeses, feta', ' cheeses, gruyère', ' cheeses, havarti', ' cheeses, mozzarella', ' cheeses, parmesan', ' cheeses, roquefort', ' chervil', ' chives', ' chorizo', ' cream', ' cream cheese', ' crème fraîche', ' dill', ' garlic', ' ginkgo nuts', ' ham, serrano', ' ham, virginia', ' herbs', ' leeks', ' marjoram', ' mushrooms', ' olive oil', ' onions', ' parsley, flat-leaf', ' pepper, black', ' pepper, white', ' potatoes', ' salmon, smoked', ' salt, kosher', ' salt, sea', ' sausage', ' scallions', ' shallots', ' sorrel', ' spinach', ' tarragon', ' thyme', ' tomatoes', ' truffles']"
"'eggs, frittata'","['anchovies', ' artichokes', ' arugula', ' asparagus', ' bacon and pancetta', ' basil', ' bell peppers', ' cheese, feta', ' cheese, gruyère', ' cheese, havarti', ' cheese, mozzarella', ' cheese, parmesan', ' chives', ' herbs', ' mushrooms', ' olives', ' onions', ' pepper, black', ' salt', ' sausage', ' shallots', ' thyme', ' tomatoes', ' zucchini']"
"'eggs, hard-boiled'","['almonds', ' basil', ' butter, unsalted', ' cayenne', ' chile peppers, jalapeño', ' chives', ' cilantro', ' cream', ' curry', ' dill', ' garlic', ' ginger, pickled', ' leeks', ' mayonnaise', ' mint', ' mustard, dijon', ' mustard, dry', ' olive oil', ' paprika', ' parsley, flat-leaf', ' pepper, black', ' salmon', ' salt, kosher', ' sauce, béchamel', ' scallions', ' shallots', ' sour cream', ' tabasco sauce', ' tarragon', ' tomatoes']"
'endive',"['almonds', ' anchovies', ' apples', ' arugula', ' avocado', ' bacon and pancetta', ' basil', ' bay leaf', ' beets', ' butter, unsalted', ' capers', ' cardamom, green', ' celery', ' cheese, asiago', ' cheese, blue', ' cheese, goat', ' cheese, gorgonzola', ' cheese, gruyère', ' cheese, herb', ' cheese, parmesan', ' cheese, roquefort', ' chervil', ' chicken', ' chives', ' cinnamon', ' coriander', ' crab', ' cream', ' cream cheese', ' crème fraîche', ' cumin', ' fennel seeds', ' fenugreek', ' frisée', ' game', ' garlic', ' ginger', ' grapefruit', ' honey', ' horseradish', ' leeks', ' lemon, juice', ' mayonnaise', ' mushrooms', ' mustard, dijon', ' mustard, dry', ' mustard, whole grain', ' mustard seeds', ' oil, grapeseed', ' oil, peanut', ' oil, safflower', ' oil, vegetable', ' olive oil', ' olives, black', ' orange, fruit', ' orange, juice', ' parsley, flat-leaf', ' peanuts', ' pears', ' pecans', ' pepper, black', ' pepper, white', ' nuts', ' pistachios', ' pomegranate', ' radicchio', ' red pepper flakes', ' rosemary', ' salads', ' salt, kosher', ' salt, sea', ' seafood', ' shallots', ' shrimp', ' smoked fish', ' sour cream', ' stocks, chicken', ' stocks, fish', ' stocks, veal', ' sugar, brown', ' sugar, white', ' tarragon', ' thyme', ' tomatoes', ' vinaigrette, mustard', ' vinegar, balsamic', ' vinegar, raspberry', ' vinegar, red wine', ' vinegar, sherry', ' walnuts', ' watercress']"
'epazote',"['beans', ' bell peppers', ' chile peppers', ' chorizo', ' cilantro', ' cloves', ' corn', ' cumin', ' fish', ' garlic', ' goat', ' legumes', ' lime', ' mole sauces', ' mushrooms', ' onions', ' oregano', ' paprika', ' pepper', ' pork', ' rice', ' salsas', ' shellfish', ' soups', ' squash', ' tomatillos', ' vegetables, green']"
'escalar',"['brown butter', ' kobe beef']"
'escarole',"['almonds', ' anchovies', ' beans', ' beef', ' butter', ' cheese, fontina', ' cheese, gruyère', ' cheese, mozzarella', ' cheese, parmesan', ' cheese, roquefort', ' chile peppers, dried red', ' cream', ' cumin', ' fish', ' garlic', ' hazelnuts', ' lemon', ' olive oil', ' olives, black', ' onions', ' paprika, sweet', ' parsley', ' pepper, black', ' pepper, white', ' pork', ' poultry', ' red pepper flakes', ' salt, kosher', ' shallots', ' soups', ' stock, chicken', ' tomatoes', ' vinegar, red or white wine']"
